07:41:41.806 [Thread-20] INFO  algoGenetico.PopulationEvo - Thread: Thread-20 | Generation no: 5
07:41:41.938 [Thread-18] INFO  algoGenetico.PopulationEvo - Thread: Thread-18 | Generation no: 7
07:41:42.188 [Thread-9] INFO  algoGenetico.PopulationEvo - Thread: Thread-9 | Generation no: 3
07:41:42.872 [Thread-12] INFO  algoGenetico.PopulationEvo - Thread: Thread-12 | Generation no: 1
07:41:43.201 [Thread-7] INFO  algoGenetico.PopulationEvo - Thread: Thread-7 | Generation no: 3
07:41:43.446 [Thread-17] INFO  algoGenetico.PopulationEvo - Thread: Thread-17 | Generation no: 9
07:41:43.630 [Thread-26] INFO  algoGenetico.PopulationEvo - Thread: Thread-26 | Generation no: 2
07:41:43.653 [Thread-22] INFO  algoGenetico.PopulationEvo - Thread: Thread-22 | Generation no: 2
07:41:44.163 [Thread-0] INFO  algoGenetico.PopulationEvo - Thread: Thread-0 | Generation no: 23
07:41:44.400 [Thread-6] INFO  algoGenetico.PopulationEvo - Thread: Thread-6 | Generation no: 14
07:41:45.081 [Thread-19] INFO  algoGenetico.PopulationEvo - Thread: Thread-19 | Generation no: 2
07:41:45.726 [pool-2-thread-2] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-2 | Hyperparameters{nrGenerations=80, nrFitIndividuals=66, tournamentSize=47, seed=1827, hiddenDimSize=35, mutationProb=0.21701815965830995, populationSize=999}
07:41:46.195 [Thread-20] INFO  algoGenetico.PopulationEvo - Thread: Thread-20 | Generation no: 6
07:41:46.685 [Thread-17] INFO  algoGenetico.PopulationEvo - Thread: Thread-17 | Generation no: 10
07:41:46.711 [Thread-25] INFO  algoGenetico.PopulationEvo - Thread: Thread-25 | Generation no: 1
07:41:47.209 [Thread-1] INFO  algoGenetico.PopulationEvo - Thread: Thread-1 | Generation no: 3
07:41:47.214 [Thread-26] INFO  algoGenetico.PopulationEvo - Thread: Thread-26 | Generation no: 3
07:41:47.422 [Thread-24] INFO  algoGenetico.PopulationEvo - Thread: Thread-24 | Generation no: 2
07:41:47.526 [Thread-0] INFO  algoGenetico.PopulationEvo - Thread: Thread-0 | Generation no: 24
07:41:47.535 [pool-2-thread-1] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-1 | Hyperparameters{nrGenerations=72, nrFitIndividuals=363, tournamentSize=66, seed=2174, hiddenDimSize=16, mutationProb=0.428326865232618, populationSize=961}
07:41:47.607 [Thread-18] INFO  algoGenetico.PopulationEvo - Thread: Thread-18 | Generation no: 8
07:41:47.613 [Thread-15] INFO  algoGenetico.PopulationEvo - Thread: Thread-15 | Generation no: 1
07:41:48.929 [pool-2-thread-1] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-1 | Hyperparameters{nrGenerations=69, nrFitIndividuals=53, tournamentSize=20, seed=363, hiddenDimSize=16, mutationProb=0.7017309440144405, populationSize=120}
07:41:49.414 [Thread-13] INFO  algoGenetico.PopulationEvo - Thread: Thread-13 | Generation no: 2
07:41:49.659 [Thread-6] INFO  algoGenetico.PopulationEvo - Thread: Thread-6 | Generation no: 15
07:41:50.297 [Thread-17] INFO  algoGenetico.PopulationEvo - Thread: Thread-17 | Generation no: 11
07:41:50.509 [Thread-23] INFO  algoGenetico.PopulationEvo - Thread: Thread-23 | Generation no: 1
07:41:50.681 [Thread-16] INFO  algoGenetico.PopulationEvo - Thread: Thread-16 | Generation no: 1
07:41:50.795 [Thread-26] INFO  algoGenetico.PopulationEvo - Thread: Thread-26 | Generation no: 4
07:41:50.808 [Thread-22] INFO  algoGenetico.PopulationEvo - Thread: Thread-22 | Generation no: 3
07:41:50.862 [Thread-0] INFO  algoGenetico.PopulationEvo - Thread: Thread-0 | Generation no: 25
07:41:50.942 [Thread-20] INFO  algoGenetico.PopulationEvo - Thread: Thread-20 | Generation no: 7
07:41:50.990 [Thread-31] INFO  algoGenetico.PopulationEvo - Thread: Thread-31 | Generation no: 1
07:41:52.291 [pool-2-thread-4] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-4 | Hyperparameters{nrGenerations=54, nrFitIndividuals=182, tournamentSize=164, seed=505, hiddenDimSize=38, mutationProb=0.8010572156078954, populationSize=676}
07:41:52.600 [pool-2-thread-3] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-3 | Hyperparameters{nrGenerations=45, nrFitIndividuals=230, tournamentSize=222, seed=1821, hiddenDimSize=33, mutationProb=0.7119862987488802, populationSize=692}
07:41:53.231 [Thread-31] INFO  algoGenetico.PopulationEvo - Thread: Thread-31 | Generation no: 2
07:41:54.181 [Thread-18] INFO  algoGenetico.PopulationEvo - Thread: Thread-18 | Generation no: 9
07:41:54.272 [Thread-17] INFO  algoGenetico.PopulationEvo - Thread: Thread-17 | Generation no: 12
07:41:54.621 [Thread-7] INFO  algoGenetico.PopulationEvo - Thread: Thread-7 | Generation no: 4
07:41:55.227 [Thread-26] INFO  algoGenetico.PopulationEvo - Thread: Thread-26 | Generation no: 5
07:41:55.584 [Thread-6] INFO  algoGenetico.PopulationEvo - Thread: Thread-6 | Generation no: 16
07:41:55.664 [Thread-0] INFO  algoGenetico.PopulationEvo - Thread: Thread-0 | Generation no: 26
07:41:55.793 [Thread-8] INFO  algoGenetico.PopulationEvo - Thread: Thread-8 | Generation no: 5
07:41:55.849 [Thread-20] INFO  algoGenetico.PopulationEvo - Thread: Thread-20 | Generation no: 8
07:41:56.973 [Thread-31] INFO  algoGenetico.PopulationEvo - Thread: Thread-31 | Generation no: 3
07:41:57.121 [Thread-10] INFO  algoGenetico.PopulationEvo - Thread: Thread-10 | Generation no: 3
07:41:57.442 [pool-2-thread-4] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-4 | Hyperparameters{nrGenerations=62, nrFitIndividuals=15, tournamentSize=14, seed=5953, hiddenDimSize=18, mutationProb=0.7059356274174222, populationSize=306}
07:41:57.775 [Thread-19] INFO  algoGenetico.PopulationEvo - Thread: Thread-19 | Generation no: 3
07:41:58.555 [Thread-17] INFO  algoGenetico.PopulationEvo - Thread: Thread-17 | Generation no: 13
07:41:59.519 [Thread-0] INFO  algoGenetico.PopulationEvo - Thread: Thread-0 | Generation no: 27
07:41:59.673 [Thread-26] INFO  algoGenetico.PopulationEvo - Thread: Thread-26 | Generation no: 6
07:42:00.234 [Thread-18] INFO  algoGenetico.PopulationEvo - Thread: Thread-18 | Generation no: 10
07:42:00.250 [Thread-24] INFO  algoGenetico.PopulationEvo - Thread: Thread-24 | Generation no: 3
07:42:01.043 [Thread-31] INFO  algoGenetico.PopulationEvo - Thread: Thread-31 | Generation no: 4
07:42:01.344 [Thread-6] INFO  algoGenetico.PopulationEvo - Thread: Thread-6 | Generation no: 17
07:42:01.687 [Thread-9] INFO  algoGenetico.PopulationEvo - Thread: Thread-9 | Generation no: 4
07:42:01.778 [Thread-20] INFO  algoGenetico.PopulationEvo - Thread: Thread-20 | Generation no: 9
07:42:02.081 [Thread-22] INFO  algoGenetico.PopulationEvo - Thread: Thread-22 | Generation no: 4
07:42:02.123 [Thread-25] INFO  algoGenetico.PopulationEvo - Thread: Thread-25 | Generation no: 2
07:42:02.156 [pool-2-thread-2] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-2 | Hyperparameters{nrGenerations=45, nrFitIndividuals=191, tournamentSize=109, seed=4637, hiddenDimSize=47, mutationProb=0.1608106711771381, populationSize=529}
07:42:02.822 [Thread-17] INFO  algoGenetico.PopulationEvo - Thread: Thread-17 | Generation no: 14
07:42:03.578 [Thread-33] INFO  algoGenetico.PopulationEvo - Thread: Thread-33 | Generation no: 1
07:42:03.930 [Thread-26] INFO  algoGenetico.PopulationEvo - Thread: Thread-26 | Generation no: 7
07:42:04.045 [Thread-0] INFO  algoGenetico.PopulationEvo - Thread: Thread-0 | Generation no: 28
07:42:05.006 [pool-2-thread-2] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-2 | Hyperparameters{nrGenerations=94, nrFitIndividuals=10, tournamentSize=6, seed=352, hiddenDimSize=40, mutationProb=0.1448009087304185, populationSize=106}
07:42:05.576 [pool-2-thread-1] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-1 | Hyperparameters{nrGenerations=14, nrFitIndividuals=157, tournamentSize=56, seed=1424, hiddenDimSize=29, mutationProb=0.01949256360437357, populationSize=717}
07:42:05.723 [Thread-31] INFO  algoGenetico.PopulationEvo - Thread: Thread-31 | Generation no: 5
07:42:06.252 [Thread-18] INFO  algoGenetico.PopulationEvo - Thread: Thread-18 | Generation no: 11
07:42:07.436 [Thread-27] INFO  algoGenetico.PopulationEvo - Thread: Thread-27 | Generation no: 1
07:42:07.450 [Thread-17] INFO  algoGenetico.PopulationEvo - Thread: Thread-17 | Generation no: 15
07:42:07.859 [Thread-36] INFO  algoGenetico.PopulationEvo - Thread: Thread-36 | Generation no: 1
07:42:08.220 [Thread-26] INFO  algoGenetico.PopulationEvo - Thread: Thread-26 | Generation no: 8
07:42:08.377 [Thread-7] INFO  algoGenetico.PopulationEvo - Thread: Thread-7 | Generation no: 5
07:42:08.437 [Thread-20] INFO  algoGenetico.PopulationEvo - Thread: Thread-20 | Generation no: 10
07:42:08.492 [pool-2-thread-3] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-3 | Hyperparameters{nrGenerations=29, nrFitIndividuals=192, tournamentSize=50, seed=4602, hiddenDimSize=19, mutationProb=0.987084380225582, populationSize=909}
07:42:08.998 [Thread-0] INFO  algoGenetico.PopulationEvo - Thread: Thread-0 | Generation no: 29
07:42:09.258 [Thread-6] INFO  algoGenetico.PopulationEvo - Thread: Thread-6 | Generation no: 18
07:42:09.819 [Thread-13] INFO  algoGenetico.PopulationEvo - Thread: Thread-13 | Generation no: 3
