07:22:56.877 [Thread-10] INFO  algoGenetico.PopulationEvo - Thread: Thread-10 | Generation no: 12
07:22:57.137 [Thread-4] INFO  algoGenetico.PopulationEvo - Thread: Thread-4 | Generation no: 12
07:22:57.595 [Thread-6] INFO  algoGenetico.PopulationEvo - Thread: Thread-6 | Generation no: 9
07:22:57.832 [Thread-16] INFO  algoGenetico.PopulationEvo - Thread: Thread-16 | Generation no: 2
07:22:58.389 [Thread-8] INFO  algoGenetico.PopulationEvo - Thread: Thread-8 | Generation no: 8
07:22:59.592 [Thread-16] INFO  algoGenetico.PopulationEvo - Thread: Thread-16 | Generation no: 3
07:22:59.848 [Thread-0] INFO  algoGenetico.PopulationEvo - Thread: Thread-0 | Generation no: 12
07:23:00.018 [Thread-10] INFO  algoGenetico.PopulationEvo - Thread: Thread-10 | Generation no: 13
07:23:00.052 [main] INFO  algoGenetico.PopulationEvo - Thread: main | Hyperparameters{nrGenerations=16, nrFitIndividuals=191, tournamentSize=22, seed=5524, hiddenDimSize=37, mutationProb=0.9050350870560793, populationSize=578}
07:23:00.411 [Thread-11] INFO  algoGenetico.PopulationEvo - Thread: Thread-11 | Generation no: 6
07:23:01.191 [Thread-14] INFO  algoGenetico.PopulationEvo - Thread: Thread-14 | Generation no: 2
07:23:01.646 [Thread-9] INFO  algoGenetico.PopulationEvo - Thread: Thread-9 | Generation no: 7
07:23:01.689 [Thread-16] INFO  algoGenetico.PopulationEvo - Thread: Thread-16 | Generation no: 4
07:23:01.813 [Thread-4] INFO  algoGenetico.PopulationEvo - Thread: Thread-4 | Generation no: 13
07:23:03.310 [Thread-10] INFO  algoGenetico.PopulationEvo - Thread: Thread-10 | Generation no: 14
07:23:03.743 [Thread-15] INFO  algoGenetico.PopulationEvo - Thread: Thread-15 | Generation no: 1
07:23:03.797 [Thread-8] INFO  algoGenetico.PopulationEvo - Thread: Thread-8 | Generation no: 9
