14:34:00.227 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -50 | Alien X: 211 | Alien Y: 23
14:34:00.227 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -68 | Alien X: 229 | Alien Y: 23
14:34:00.227 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 22 | Alien X: 139 | Alien Y: 41
14:34:00.227 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 4 | Alien X: 157 | Alien Y: 41
14:34:00.227 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -14 | Alien X: 175 | Alien Y: 41
14:34:00.228 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -32 | Alien X: 193 | Alien Y: 41
14:34:00.228 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -50 | Alien X: 211 | Alien Y: 41
14:34:00.228 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -68 | Alien X: 229 | Alien Y: 41
14:34:00.240 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 23 | Alien X: 138 | Alien Y: 5
14:34:00.241 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 5 | Alien X: 156 | Alien Y: 5
14:34:00.241 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -13 | Alien X: 174 | Alien Y: 5
14:34:00.241 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -31 | Alien X: 192 | Alien Y: 5
14:34:00.241 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -49 | Alien X: 210 | Alien Y: 5
14:34:00.241 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -67 | Alien X: 228 | Alien Y: 5
14:34:00.241 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 23 | Alien X: 138 | Alien Y: 23
14:34:00.242 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 5 | Alien X: 156 | Alien Y: 23
14:34:00.242 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -13 | Alien X: 174 | Alien Y: 23
14:34:00.242 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -31 | Alien X: 192 | Alien Y: 23
14:34:00.242 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -49 | Alien X: 210 | Alien Y: 23
14:34:00.242 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -67 | Alien X: 228 | Alien Y: 23
14:34:00.242 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 23 | Alien X: 138 | Alien Y: 41
14:34:00.242 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 5 | Alien X: 156 | Alien Y: 41
14:34:00.243 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -13 | Alien X: 174 | Alien Y: 41
14:34:00.243 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -31 | Alien X: 192 | Alien Y: 41
14:34:00.243 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -49 | Alien X: 210 | Alien Y: 41
14:34:00.243 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -67 | Alien X: 228 | Alien Y: 41
14:34:00.257 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 24 | Alien X: 137 | Alien Y: 5
